application_key,fixture,status,old_weighted_score,new_weighted_score,old_final_score,new_final_score,old_tier,new_tier,old_lane,new_lane,old_approval,new_approval,old_floors,new_floors,factor_deltas,sentinel_acquisitions,sentinel_removals,classification,explanation,expected
bd974c2fec461643,False,kyc_submitted,32.7,32.7,32.7,32.7,LOW,LOW,Fast Lane,Fast Lane,direct_low_medium,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:8880c476be5f""]",[],BLOCKED,new fail-closed unresolved sentinel,True
1d207f562cf4c147,False,pricing_review,21.0,21.0,21.0,21.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:949260d787d5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8""]",[],BLOCKED,new fail-closed unresolved sentinel,True
a19f2fde7c749ce0,False,draft,28.0,28.0,28.0,28.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_incorporation_country:ebc8125facd5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:c96391dfd61c""]",[],READY_AFTER_DATA_CLEANUP,new fail-closed unresolved sentinel,True
99accd39438b8808,False,pricing_review,48.7,48.7,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_high_risk_sector""]","[""floor_rule_high_risk_sector""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:caa6931ee3d5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:bab7b20e422d""]",[],BLOCKED,new fail-closed unresolved sentinel,True
c78e8a90a4fe86f6,False,kyc_documents,26.3,24.3,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""material_screening_disposition_floor""]","[""material_screening_disposition_floor""]","{""monthly_volume"":{""new"":2.0,""old"":3.0}}",[],[],READY,approved mapping/parser change: monthly_volume,True
8032d6b37d159720,False,kyc_documents,27.7,27.7,27.7,27.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,new fail-closed unresolved sentinel,True
be560575ae434074,False,pricing_review,32.3,32.3,32.3,32.3,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:8fb2f1802261"",""stale:unmapped_sector:a24dd1d3436f""]",[],BLOCKED,new fail-closed unresolved sentinel,True
5db1bc6d5123de06,False,edd_required,39.7,39.7,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_high_risk_sector""]","[""floor_rule_high_risk_sector""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_incorporation_country:ebc8125facd5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:e74a44cb9f4c""]",[],BLOCKED,new fail-closed unresolved sentinel; approved compliance-review classification,True
11be3f86fdf4bc79,False,pricing_review,29.7,29.7,29.7,29.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:2e1b2c4543da"",""stale:unmapped_sector:e326b320e66c""]",[],BLOCKED,new fail-closed unresolved sentinel,True
83279cc63bff62fe,False,pricing_review,37.3,37.3,37.3,37.3,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:8fb2f1802261"",""stale:unmapped_sector:2eb5b2899bf6""]",[],BLOCKED,new fail-closed unresolved sentinel,True
